高管姓名,性别,年龄,股票代码,职位,:LABEL,PersonId:ID
李宁,男,55,000652,独立董事,人,1000276
仇向洋,男,62,000652,独立董事,人,1000277
曹克坚,男,56,300257,"董事长,董事",人,1000278
汤炎,男,59,300257,董事,人,1000279
叶春,男,55,300257,董事,人,1000280
Bruce P. Biederman,男,61,300257,董事,人,1000281
王秋潮,男,67,300257,独立董事,人,1000282
陈希琴,女,53,300257,独立董事,人,1000283
束鹏程,男,78,300257,独立董事,人,1000284
魏建军,男,54,601633,"董事长,执行董事",人,1000285
王凤英,女,47,601633,"副董事长,执行董事",人,1000286
杨志娟,女,51,601633,执行董事,人,1000287
何平,男,41,601633,非执行董事,人,1000288
李万军,男,54,601633,独立非执行董事,人,1000289
吴智杰,男,44,601633,独立非执行董事,人,1000290
马力辉,男,50,601633,独立非执行董事,人,1000291
张庆文,男,49,000828,"董事长,董事",人,1000292
萧瑞兴,女,44,000828,董事,人,1000293
黄勇,男,42,000828,董事,人,1000294
李非,男,62,000828,独立董事,人,1000295
江伟,男,40,000828,独立董事,人,1000296
陈玉罡,男,42,000828,独立董事,人,1000297
战英杰,女,47,000982,"董事长,董事",人,1000298
郝广利,男,46,000982,董事,人,1000299
马翠芳,女,48,000982,董事,人,1000300
石磊,男,45,000982,董事,人,1000301
申晨,男,31,000982,董事,人,1000302
虞世全,男,52,000982,独立董事,人,1000303
安国俊,女,46,000982,独立董事,人,1000304
童朋方,男,46,000982,独立董事,人,1000305
周晓萍,女,57,601799,"董事长,董事",人,1000306
俞志明,男,53,601799,董事,人,1000307
刘树廷,男,43,601799,董事,人,1000308
高国华,男,50,601799,董事,人,1000309
陈良华,男,55,601799,独立董事,人,1000310
汪波,男,53,601799,独立董事,人,1000311
岳国健,男,53,601799,独立董事,人,1000312
陶登奎,男,55,600022,"董事长,董事",人,1000313
陈向阳,男,52,600022,"副董事长,董事",人,1000314
罗登武,男,56,600022,董事,人,1000315
薄涛,男,54,600022,董事,人,1000316
王国栋,男,76,600022,独立董事,人,1000317
刘冰,男,46,600022,独立董事,人,1000318
胡元木,男,64,600022,独立董事,人,1000319
徐金梧,男,69,600022,独立董事,人,1000320
马建春,女,48,600022,独立董事,人,1000321
徐大同,男,55,002116,"董事长,董事",人,1000322
张建新,男,55,002116,董事,人,1000323
袁莉,女,51,002116,董事,人,1000324
李芸,女,54,002116,董事,人,1000325
杨晓洁,女,39,002116,董事,人,1000326
董建辉,男,50,002116,董事,人,1000327
李文祥,男,56,002116,独立董事,人,1000328
高凤勇,男,48,002116,独立董事,人,1000329
张一弛,男,,002116,独立董事,人,1000330
赵艳春,男,36,002116,独立董事,人,1000331
李希勇,男,55,600188,"董事长,董事",人,1000332
李伟,男,52,600188,"副董事长,董事",人,1000333
吴向前,男,52,600188,董事,人,1000334
赵青春,男,50,600188,董事,人,1000335
吴玉祥,男,56,600188,董事,人,1000336
郭德春,男,56,600188,董事,人,1000337
孔祥国,男,63,600188,独立董事,人,1000338
潘昭国,男,56,600188,独立董事,人,1000339
戚安邦,男,66,600188,独立董事,人,1000340
蔡昌,男,47,600188,独立董事,人,1000341
郭军,男,55,600188,职工董事,人,1000342
胡敏,男,58,002546,"董事长,董事",人,1000343
金放生,男,60,002546,"副董事长,董事",人,1000344
李照球,男,43,002546,董事,人,1000345
朱忠明,男,53,002546,董事,人,1000346
何晓波,男,53,002546,董事,人,1000347
杨瑞鸣,女,54,002546,董事,人,1000348
张阳,男,58,002546,独立董事,人,1000349
李云彬,男,53,002546,独立董事,人,1000350
周定华,男,66,002546,独立董事,人,1000351
杨万华,男,52,002053,"董事长,董事",人,1000352
马策,男,57,002053,董事,人,1000353
田恺,男,45,002053,董事,人,1000354
李庆华,女,49,002053,董事,人,1000355
李中照,男,50,002053,董事,人,1000356
舒艺欣,女,35,002053,董事,人,1000357
和国忠,男,51,002053,独立董事,人,1000358
杨勇,男,53,002053,独立董事,人,1000359
杨先明,男,65,002053,独立董事,人,1000360
邓小壮,男,42,000594,"董事长,董事",人,1000361
刘湘,男,51,000594,董事,人,1000362
于臣家,男,48,000594,董事,人,1000363
胡国强,男,52,000594,独立董事,人,1000364
赵兵,男,40,000594,独立董事,人,1000365
俞辉,男,42,000594,独立董事,人,1000366
苏壮强,男,47,600167,"董事长,董事",人,1000367
朱昌一,男,62,600167,董事,人,1000368
温德纯,男,48,600167,董事,人,1000369
张永付,男,56,600167,董事,人,1000370
刘永泽,男,68,600167,独立董事,人,1000371
贵立义,男,75,600167,独立董事,人,1000372
钟田丽,女,62,600167,独立董事,人,1000373
陈合林,男,62,002403,"董事长,董事",人,1000374
陈灵巧,女,35,002403,董事,人,1000375
林富青,男,44,002403,董事,人,1000376
陈佳,女,43,002403,董事,人,1000377
甘为民,男,52,002403,独立董事,人,1000378
邵春阳,男,,002403,独立董事,人,1000379
王汉卿,男,40,002403,独立董事,人,1000380
周锦明,男,53,300191,"董事长,董事",人,1000381
于金星,男,38,300191,董事,人,1000382
贾承造,男,70,300191,董事,人,1000383
郑伟建,男,52,300191,董事,人,1000384
陈洁,女,48,300191,独立董事,人,1000385
王月永,男,53,300191,独立董事,人,1000386
陈永武,男,65,300191,独立董事,人,1000387
荀耀,男,32,600537,"董事长,董事",人,1000388
孙铁囤,男,56,600537,董事,人,1000389
荀建平,男,54,600537,董事,人,1000390
姚志中,男,43,600537,董事,人,1000391
张婷,女,28,600537,董事,人,1000392
