:START_ID,:END_ID,:TYPE
1000209,002004,work_in
1000210,002004,work_in
1000211,002004,work_in
1000212,002004,work_in
1000213,002004,work_in
1000214,002004,work_in
1000215,000717,work_in
1000216,000717,work_in
1000217,000717,work_in
1000218,000717,work_in
1000219,000717,work_in
1000220,000717,work_in
1000221,000717,work_in
1000222,000717,work_in
1000223,000717,work_in
1000224,000717,work_in
1000225,000717,work_in
1000226,300312,work_in
1000227,300312,work_in
1000228,300312,work_in
1000229,300312,work_in
1000230,300312,work_in
1000231,300312,work_in
1000232,300312,work_in
1000251,603198,work_in
1000252,603198,work_in
1000253,603198,work_in
1000254,603198,work_in
1000255,603198,work_in
1000256,603198,work_in
1000257,603198,work_in
1000258,603198,work_in
1000259,603198,work_in
1000260,002395,work_in
1000261,002395,work_in
1000262,002395,work_in
1000263,002395,work_in
1000264,002395,work_in
1000265,002395,work_in
1000266,002395,work_in
1000267,002395,work_in
1000268,002395,work_in
1000269,000652,work_in
1000270,000652,work_in
1000271,000652,work_in
1000272,000652,work_in
1000273,000652,work_in
1000274,000652,work_in
1000275,000652,work_in
1000276,000652,work_in
1000277,000652,work_in
1000278,300257,work_in
1000279,300257,work_in
1000280,300257,work_in
1000281,300257,work_in
1000282,300257,work_in
1000283,300257,work_in
1000284,300257,work_in
1000285,601633,work_in
1000286,601633,work_in
1000287,601633,work_in
1000288,601633,work_in
1000289,601633,work_in
1000290,601633,work_in
1000291,601633,work_in
1000292,000828,work_in
1000293,000828,work_in
1000294,000828,work_in
1000295,000828,work_in
1000296,000828,work_in
1000297,000828,work_in
1000298,000982,work_in
1000299,000982,work_in
1000300,000982,work_in
1000301,000982,work_in
1000302,000982,work_in
1000303,000982,work_in
1000304,000982,work_in
1000305,000982,work_in
1000306,601799,work_in
1000307,601799,work_in
1000308,601799,work_in
1000309,601799,work_in
1000310,601799,work_in
1000311,601799,work_in
1000312,601799,work_in
1000313,600022,work_in
1000314,600022,work_in
1000315,600022,work_in
1000316,600022,work_in
1000317,600022,work_in
1000318,600022,work_in
1000319,600022,work_in
1000320,600022,work_in
1000321,600022,work_in
1000322,002116,work_in
1000323,002116,work_in
1000324,002116,work_in
1000325,002116,work_in
1000326,002116,work_in
1000327,002116,work_in
1000328,002116,work_in
1000329,002116,work_in
1000330,002116,work_in
1000331,002116,work_in
1000332,600188,work_in
1000333,600188,work_in
1000334,600188,work_in
1000335,600188,work_in
1000336,600188,work_in
1000337,600188,work_in
1000338,600188,work_in
1000339,600188,work_in
1000340,600188,work_in
1000341,600188,work_in
1000342,600188,work_in
1000343,002546,work_in
1000344,002546,work_in
1000345,002546,work_in
1000346,002546,work_in
1000347,002546,work_in
1000348,002546,work_in
1000349,002546,work_in
1000350,002546,work_in
1000351,002546,work_in
1000352,002053,work_in
1000353,002053,work_in
1000354,002053,work_in
1000355,002053,work_in
1000356,002053,work_in
1000357,002053,work_in
1000358,002053,work_in
1000359,002053,work_in
1000360,002053,work_in
1000367,600167,work_in
1000368,600167,work_in
1000369,600167,work_in
1000370,600167,work_in
1000371,600167,work_in
1000372,600167,work_in
1000373,600167,work_in
1000374,002403,work_in
1000375,002403,work_in
1000376,002403,work_in
1000377,002403,work_in
1000378,002403,work_in
1000379,002403,work_in
1000380,002403,work_in
1000381,300191,work_in
1000382,300191,work_in
1000383,300191,work_in
1000384,300191,work_in
1000385,300191,work_in
1000386,300191,work_in
1000387,300191,work_in
1000388,600537,work_in
1000389,600537,work_in
1000390,600537,work_in
1000391,600537,work_in
1000392,600537,work_in
1000393,600537,work_in
1000394,600537,work_in
1000395,600537,work_in
1000396,600537,work_in
1000397,600864,work_in
1000398,600864,work_in
1000399,600864,work_in
1000400,600864,work_in
1000401,600864,work_in
1000402,600864,work_in
1000403,600864,work_in
1000404,600864,work_in
1000405,600864,work_in
1000406,601019,work_in
1000407,601019,work_in
1000408,601019,work_in
1000409,601019,work_in
1000410,601019,work_in
1000411,601019,work_in
1000412,601019,work_in
1000413,601019,work_in
1000414,002696,work_in
1000415,002696,work_in
1000416,002696,work_in
1000417,002696,work_in
1000418,002696,work_in
1000419,002696,work_in
1000420,002696,work_in
1000421,600258,work_in
1000422,600258,work_in
1000423,600258,work_in
1000424,600258,work_in
1000425,600258,work_in
1000426,600258,work_in
1000427,600258,work_in
1000428,600258,work_in
1000429,600258,work_in
1000430,600258,work_in
1000431,600258,work_in
1000432,600258,work_in
1000442,300304,work_in
1000443,300304,work_in
1000444,300304,work_in
1000445,300304,work_in
1000446,300304,work_in
1000447,300304,work_in
1000448,300304,work_in
1000449,300304,work_in
1000450,300304,work_in
1000451,600608,work_in
1000452,600608,work_in
1000453,600608,work_in
1000454,600608,work_in
1000455,600608,work_in
1000456,600608,work_in
1000457,600608,work_in
1000458,600608,work_in
1000459,000701,work_in
1000460,000701,work_in
1000461,000701,work_in
1000462,000701,work_in
1000463,000701,work_in
1000464,000701,work_in
1000465,000701,work_in
1000466,000701,work_in
1000467,000701,work_in
1000468,300241,work_in
1000469,300241,work_in
1000470,300241,work_in
1000471,300241,work_in
1000472,300241,work_in
1000473,300241,work_in
1000474,300241,work_in
1000475,300241,work_in
1000476,300241,work_in
1000477,002229,work_in
1000478,002229,work_in
1000479,002229,work_in
1000480,002229,work_in
1000481,002229,work_in
1000482,002229,work_in
1000483,002229,work_in
1000484,002229,work_in
1000485,002679,work_in
1000486,002679,work_in
1000487,002679,work_in
1000488,002679,work_in
1000489,002679,work_in
1000490,002679,work_in
1000491,002679,work_in
1000492,002679,work_in
1000493,002679,work_in
1000494,603161,work_in
1000495,603161,work_in
1000496,603161,work_in
1000497,603161,work_in
1000498,603161,work_in
1000499,603161,work_in
1000500,603161,work_in
1000501,002550,work_in
1000502,002550,work_in
1000503,002550,work_in
1000504,002550,work_in
1000505,002550,work_in
1000506,002550,work_in
1000507,002550,work_in
1000508,002550,work_in
1000509,002100,work_in
1000510,002100,work_in
1000511,002100,work_in
1000512,002100,work_in
1000513,002100,work_in
1000514,002100,work_in
1000515,002100,work_in
1000516,002100,work_in
